BorrowerCreditScore,LoanAmount,LoanTerm,EmploymentStatus,AnnualIncome,DebtToIncomeRatio,PreviousDefaultHistory,TypeOfLoan,InterestRate,EconomicIndicators,ApproveLoan,LoanOfferAmount,InterestRateOffered,LoanTermOffered,AdditionalCollateralRequired,LoanPerformance,DefaultWithin12Months,RecoveryRate,CostOfRiskManagement
460,12657,Long-term,Self-employed,142746,56,No,Business,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,71,2279
697,23850,Short-term,Unemployed,46049,5,No,Business,18,Growing,Yes,11512.25,18,Short-term,No,Performing,No,100,2604
576,30425,Short-term,Unemployed,97789,59,No,Business,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,75,1564
803,31685,Long-term,Retired,104526,26,No,Business,8,Growing,Yes,26131.5,8,Long-term,No,Performing,No,100,197
691,29578,Medium-term,Employed,158918,44,No,Mortgage,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,82,392
434,33831,Medium-term,Employed,66220,5,Yes,Mortgage,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,24,1939
494,12906,Short-term,Retired,66163,69,No,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,56,1834
700,12287,Medium-term,Retired,154837,67,No,Mortgage,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,31,2719
332,38660,Medium-term,Employed,137126,58,No,Personal,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,62,4847
759,15222,Medium-term,Self-employed,101486,46,No,Personal,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,11,2296
769,42443,Short-term,Self-employed,196342,25,No,Business,13,Growing,Yes,42443.0,13,Short-term,No,Performing,No,100,3566
674,39701,Long-term,Retired,95277,26,Yes,Personal,10,Growing,Yes,23819.25,10,Long-term,No,Non-performing,Yes,62,2006
321,22764,Medium-term,Self-employed,124245,42,No,Auto,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,76,1821
337,49641,Short-term,Employed,142332,12,No,Mortgage,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,91,3791
529,22674,Short-term,Unemployed,42931,66,No,Mortgage,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,0,1916
664,23024,Long-term,Unemployed,109116,51,No,Mortgage,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,50,352
737,28874,Medium-term,Self-employed,75633,21,Yes,Personal,4,Stable,Yes,18908.25,4,Medium-term,No,Non-performing,Yes,69,4327
582,48642,Medium-term,Retired,71913,21,No,Mortgage,12,Recession,No,0.0,0,N/A,No,Non-performing,Yes,7,3619
326,37284,Long-term,Retired,114776,17,No,Business,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,67,2007
525,22602,Long-term,Retired,45991,21,No,Business,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,4,2010
576,42784,Short-term,Retired,124092,42,No,Business,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,88,2621
583,28265,Short-term,Retired,161633,49,No,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,85,3949
780,30931,Long-term,Self-employed,167973,10,No,Mortgage,15,Stable,Yes,30931.0,15,Long-term,No,Performing,No,100,1158
752,33841,Medium-term,Unemployed,115556,39,No,Personal,12,Growing,Yes,28889.0,12,Medium-term,No,Performing,No,100,3638
815,34192,Short-term,Unemployed,82875,18,Yes,Mortgage,16,Stable,Yes,20718.75,16,Short-term,No,Non-performing,Yes,91,2422
846,47520,Short-term,Self-employed,176989,65,No,Auto,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,38,286
491,20585,Medium-term,Retired,82120,19,Yes,Auto,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,22,1048
348,30559,Short-term,Self-employed,153060,58,No,Personal,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,67,2390
811,45059,Medium-term,Unemployed,130041,31,No,Business,18,Recession,Yes,32510.25,18,Medium-term,No,Performing,No,100,4459
316,38742,Medium-term,Employed,148467,17,No,Personal,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,51,4717
471,9133,Medium-term,Self-employed,165328,35,No,Business,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,3,4978
519,19663,Long-term,Retired,138490,39,No,Mortgage,6,Recession,No,0.0,0,N/A,No,Non-performing,Yes,46,4730
457,26754,Long-term,Unemployed,146155,64,No,Business,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,20,309
776,8972,Long-term,Unemployed,48230,10,No,Business,16,Growing,Yes,8972.0,16,Long-term,No,Performing,No,100,2193
345,10295,Medium-term,Unemployed,79778,73,No,Mortgage,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,55,3638
672,46873,Medium-term,Unemployed,65833,62,No,Auto,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,65,1663
817,34125,Long-term,Retired,42625,53,No,Mortgage,12,Recession,No,0.0,0,N/A,No,Non-performing,Yes,58,125
398,45996,Short-term,Employed,52088,27,No,Personal,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,6,274
336,14903,Medium-term,Unemployed,192239,38,No,Personal,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,48,1434
579,8020,Short-term,Self-employed,123937,30,No,Personal,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,15,421
648,46755,Short-term,Employed,96361,51,Yes,Personal,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,4250
796,25420,Medium-term,Unemployed,108229,9,Yes,Personal,18,Growing,Yes,25420.0,18,Medium-term,No,Non-performing,Yes,83,4147
601,26452,Medium-term,Employed,155189,24,No,Auto,4,Stable,Yes,26452.0,4,Medium-term,Yes,Performing,No,100,3327
480,43001,Short-term,Self-employed,110265,10,Yes,Auto,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,86,1972
398,14516,Short-term,Unemployed,117718,74,No,Business,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,97,2167
415,7396,Long-term,Self-employed,80710,63,No,Personal,13,Recession,No,0.0,0,N/A,No,Non-performing,Yes,74,432
490,23546,Long-term,Retired,114876,68,Yes,Mortgage,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,33,3091
552,24129,Medium-term,Unemployed,50949,22,No,Personal,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,32,1010
460,6591,Long-term,Unemployed,173619,8,Yes,Auto,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,25,4596
555,16303,Long-term,Unemployed,88136,21,No,Personal,11,Recession,No,0.0,0,N/A,No,Non-performing,Yes,65,1049
622,35561,Long-term,Unemployed,131541,18,Yes,Auto,17,Recession,Yes,32885.25,17,Long-term,Yes,Non-performing,Yes,62,2175
427,11183,Long-term,Retired,81842,17,No,Business,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,86,2614
317,31572,Short-term,Unemployed,46990,11,No,Business,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,40,3431
622,39080,Medium-term,Employed,167265,48,No,Business,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,85,3129
587,25695,Long-term,Unemployed,50109,19,No,Auto,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,57,200
454,12314,Short-term,Retired,150356,23,No,Personal,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,97,4746
789,24623,Short-term,Unemployed,170305,67,No,Personal,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,78,2500
685,7139,Short-term,Employed,148133,39,No,Mortgage,7,Recession,Yes,7139.0,7,Short-term,No,Performing,No,100,3471
403,36290,Long-term,Retired,185582,39,No,Auto,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,9,2443
692,23088,Long-term,Retired,21306,23,No,Mortgage,17,Recession,Yes,5326.5,17,Long-term,No,Performing,No,100,452
545,44692,Medium-term,Employed,23849,24,No,Business,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,14,3055
475,38130,Long-term,Employed,32360,39,No,Personal,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,41,1118
338,37088,Long-term,Employed,131072,36,No,Auto,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,92,1279
776,31292,Short-term,Employed,114767,52,No,Mortgage,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,56,3636
837,25670,Medium-term,Employed,196872,48,No,Mortgage,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,86,3750
707,8738,Long-term,Retired,188035,28,No,Mortgage,13,Recession,Yes,8738.0,13,Long-term,No,Performing,No,100,2602
824,7469,Long-term,Retired,74330,65,No,Personal,3,Recession,No,0.0,0,N/A,No,Non-performing,Yes,16,3919
805,27534,Short-term,Unemployed,71707,21,No,Personal,10,Recession,Yes,17926.75,10,Short-term,No,Performing,No,100,1079
335,14017,Short-term,Unemployed,38689,54,No,Personal,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,59,4934
319,7808,Long-term,Self-employed,49084,69,Yes,Auto,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,8,1076
620,17713,Medium-term,Unemployed,60387,36,No,Personal,10,Growing,Yes,15096.75,10,Medium-term,Yes,Performing,No,100,1471
811,45329,Medium-term,Unemployed,94816,40,Yes,Auto,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,35,2380
699,7719,Short-term,Employed,22642,17,No,Mortgage,4,Stable,Yes,5660.5,4,Short-term,No,Performing,No,100,4676
770,27890,Short-term,Employed,62137,74,Yes,Mortgage,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,72,207
442,16700,Long-term,Unemployed,82260,62,Yes,Business,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,79,1072
391,41509,Short-term,Self-employed,166510,18,No,Personal,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,35,1726
653,47534,Long-term,Employed,68442,41,No,Mortgage,17,Recession,No,0.0,0,N/A,No,Non-performing,Yes,47,803
350,41766,Medium-term,Unemployed,123061,72,Yes,Personal,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,50,974
489,31705,Medium-term,Unemployed,154066,44,No,Auto,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,96,3909
424,23787,Long-term,Retired,145844,63,No,Mortgage,4,Recession,No,0.0,0,N/A,No,Non-performing,Yes,94,2511
449,31588,Short-term,Self-employed,119575,20,No,Personal,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,69,2207
613,31123,Medium-term,Retired,21813,66,Yes,Mortgage,13,Recession,No,0.0,0,N/A,No,Non-performing,Yes,73,3653
641,38062,Short-term,Self-employed,113027,8,No,Mortgage,18,Growing,Yes,28256.75,18,Short-term,Yes,Performing,No,100,1373
604,15177,Medium-term,Employed,143489,49,No,Personal,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,79,659
353,26727,Long-term,Self-employed,104381,32,Yes,Mortgage,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,67,216
743,35220,Long-term,Unemployed,75276,70,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,21,3146
563,14882,Long-term,Unemployed,61243,35,No,Mortgage,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,76,143
352,6136,Medium-term,Self-employed,80272,7,No,Mortgage,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,79,608
304,39832,Short-term,Self-employed,193123,12,No,Auto,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,92,3539
402,36966,Short-term,Self-employed,85618,28,No,Mortgage,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,5,4028
495,12009,Short-term,Retired,21920,19,No,Business,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,25,1016
649,17987,Medium-term,Self-employed,126121,47,No,Mortgage,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,74,3045
346,42311,Medium-term,Employed,96872,35,No,Personal,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,87,898
568,36575,Medium-term,Retired,101132,49,No,Business,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,92,1860
669,6007,Medium-term,Retired,22093,70,No,Auto,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,2,2433
405,10445,Medium-term,Self-employed,32905,12,Yes,Business,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,51,3375
419,15706,Short-term,Employed,141759,61,No,Business,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,73,918
357,49486,Medium-term,Retired,175423,34,No,Business,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,59,2268
645,34257,Medium-term,Unemployed,50981,22,No,Personal,17,Growing,Yes,12745.25,17,Medium-term,Yes,Performing,No,100,3835
773,26736,Short-term,Retired,93903,73,No,Personal,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,62,3165
416,47207,Medium-term,Self-employed,90821,43,No,Personal,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,64,3359
426,18281,Short-term,Employed,129200,64,Yes,Auto,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,51,1006
692,6435,Short-term,Self-employed,102289,47,No,Personal,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,89,4208
357,38339,Long-term,Unemployed,136506,49,No,Personal,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,75,702
812,40150,Long-term,Unemployed,98513,27,No,Business,15,Stable,Yes,24628.25,15,Long-term,No,Performing,No,100,4395
395,30821,Long-term,Unemployed,170946,73,Yes,Personal,7,Stable,No,0.0,0,N/A,No,Non-performing,Yes,13,2733
417,31660,Long-term,Self-employed,158746,10,No,Mortgage,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,88,1891
787,10084,Medium-term,Retired,70516,60,No,Personal,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,71,3627
536,21661,Long-term,Self-employed,89212,8,No,Auto,15,Recession,No,0.0,0,N/A,No,Non-performing,Yes,67,4643
571,18507,Short-term,Employed,153498,27,No,Auto,3,Growing,No,0.0,0,N/A,No,Non-performing,Yes,27,1911
488,12059,Medium-term,Retired,150970,10,No,Mortgage,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,70,4011
746,23271,Long-term,Unemployed,110009,36,No,Auto,16,Stable,Yes,23271.0,16,Long-term,No,Performing,No,100,940
546,12491,Short-term,Self-employed,181015,22,No,Auto,10,Recession,No,0.0,0,N/A,No,Non-performing,Yes,9,3242
375,19859,Medium-term,Unemployed,64816,19,Yes,Business,12,Recession,No,0.0,0,N/A,No,Non-performing,Yes,56,4785
453,13073,Medium-term,Unemployed,24138,44,No,Mortgage,11,Recession,No,0.0,0,N/A,No,Non-performing,Yes,99,2190
734,14077,Long-term,Employed,111176,10,No,Business,19,Growing,Yes,14077.0,19,Long-term,No,Performing,No,100,4715
385,25953,Medium-term,Retired,95945,67,No,Business,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,65,1136
584,16383,Short-term,Employed,24017,71,No,Personal,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,89,824
519,7353,Medium-term,Employed,30451,15,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,49,1087
368,28821,Short-term,Employed,113863,47,No,Personal,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,13,902
346,42567,Medium-term,Unemployed,30278,21,No,Personal,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,15,2682
393,29860,Long-term,Employed,63764,8,No,Business,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,53,3937
752,26195,Short-term,Employed,143030,67,No,Auto,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,42,626
503,16939,Medium-term,Retired,152206,72,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,41,1765
517,30338,Medium-term,Retired,82943,45,No,Auto,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,80,1238
773,26730,Medium-term,Employed,115667,9,No,Business,9,Recession,Yes,26730.0,9,Medium-term,No,Performing,No,100,559
731,26427,Short-term,Retired,74318,36,No,Business,16,Stable,Yes,18579.5,16,Short-term,No,Performing,No,100,2652
640,40196,Short-term,Retired,123423,74,No,Business,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,21,4520
588,32083,Short-term,Employed,123998,39,No,Business,10,Stable,No,0.0,0,N/A,No,Non-performing,Yes,67,4774
553,26510,Long-term,Unemployed,80128,26,No,Business,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,18,2908
656,49064,Long-term,Employed,41869,69,No,Business,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,65,2998
322,12813,Short-term,Retired,25039,26,No,Auto,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,38,3343
821,36598,Medium-term,Unemployed,172353,15,No,Personal,5,Growing,Yes,36598.0,5,Medium-term,No,Performing,No,100,4168
399,32570,Long-term,Self-employed,132935,7,No,Auto,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,72,2431
479,32082,Short-term,Unemployed,30442,13,No,Mortgage,8,Recession,No,0.0,0,N/A,No,Non-performing,Yes,18,4670
522,34241,Medium-term,Retired,93788,64,No,Auto,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,15,3785
741,35678,Long-term,Unemployed,139729,18,No,Business,6,Stable,Yes,34932.25,6,Long-term,No,Performing,No,100,731
624,49569,Medium-term,Employed,47586,22,No,Auto,18,Stable,Yes,11896.5,18,Medium-term,Yes,Performing,No,100,4898
815,16745,Medium-term,Self-employed,73053,27,No,Personal,9,Recession,Yes,16745.0,9,Medium-term,No,Performing,No,100,2556
315,31029,Medium-term,Self-employed,106346,51,No,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,53,1081
635,18025,Medium-term,Self-employed,87087,73,No,Auto,3,Recession,No,0.0,0,N/A,No,Non-performing,Yes,24,4754
557,41124,Long-term,Retired,163697,51,No,Personal,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,17,4417
796,19288,Long-term,Retired,54397,34,No,Auto,14,Recession,Yes,13599.25,14,Long-term,No,Performing,No,100,1656
459,28650,Long-term,Self-employed,78671,29,No,Mortgage,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,22,2305
774,11540,Short-term,Unemployed,136214,32,No,Auto,9,Growing,Yes,11540.0,9,Short-term,No,Performing,No,100,4543
679,37232,Long-term,Self-employed,86897,29,No,Business,12,Stable,Yes,21724.25,12,Long-term,No,Performing,No,100,4055
844,21422,Medium-term,Unemployed,177221,62,No,Auto,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,84,1021
726,8342,Long-term,Unemployed,156355,45,No,Personal,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,10,504
567,46846,Medium-term,Retired,158682,29,Yes,Auto,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,38,4872
716,40612,Short-term,Unemployed,194398,52,No,Personal,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,67,4784
467,15396,Medium-term,Self-employed,34924,14,No,Mortgage,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,24,1720
342,22482,Medium-term,Retired,133143,15,No,Auto,15,Recession,No,0.0,0,N/A,No,Non-performing,Yes,62,3052
584,28411,Medium-term,Employed,130253,25,No,Mortgage,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,95,3218
696,18261,Short-term,Employed,120297,49,No,Mortgage,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,29,1694
311,8093,Long-term,Retired,20869,11,Yes,Auto,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,44,665
601,16722,Long-term,Self-employed,117088,68,No,Personal,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,89,4899
552,27042,Short-term,Employed,21014,68,Yes,Mortgage,4,Growing,No,0.0,0,N/A,No,Non-performing,Yes,60,2968
798,49413,Medium-term,Employed,30103,6,No,Mortgage,15,Stable,Yes,7525.75,15,Medium-term,No,Performing,No,100,957
334,33087,Long-term,Unemployed,130317,46,No,Auto,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,99,1384
389,37347,Short-term,Unemployed,184530,58,No,Auto,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,50,684
717,38756,Long-term,Self-employed,102409,20,No,Auto,17,Stable,Yes,25602.25,17,Long-term,No,Performing,No,100,4427
414,44214,Short-term,Retired,43248,22,Yes,Auto,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,97,1345
495,21335,Medium-term,Self-employed,194588,63,No,Auto,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,8,151
800,33602,Long-term,Retired,180133,20,No,Business,14,Growing,Yes,33602.0,14,Long-term,No,Performing,No,100,2263
792,39450,Short-term,Employed,175242,10,No,Auto,7,Growing,Yes,39450.0,7,Short-term,No,Performing,No,100,637
374,37196,Long-term,Unemployed,28024,61,No,Personal,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,75,640
712,10626,Long-term,Self-employed,105947,51,No,Mortgage,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,1,914
675,12424,Long-term,Self-employed,194875,52,No,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,4,1515
719,17857,Long-term,Retired,170368,46,No,Personal,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,61,2938
576,49923,Short-term,Retired,111829,64,No,Business,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,68,1752
693,24982,Medium-term,Self-employed,112708,8,No,Auto,15,Growing,Yes,24982.0,15,Medium-term,No,Performing,No,100,2765
756,16425,Short-term,Retired,106664,6,No,Mortgage,7,Recession,Yes,16425.0,7,Short-term,No,Performing,No,100,4614
491,6980,Short-term,Self-employed,169329,63,Yes,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,51,4162
398,31431,Short-term,Self-employed,163927,31,No,Auto,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,85,2456
847,24440,Medium-term,Self-employed,105178,31,No,Auto,7,Stable,Yes,24440.0,7,Medium-term,No,Performing,No,100,3910
395,46752,Long-term,Employed,121121,11,No,Business,15,Recession,No,0.0,0,N/A,No,Non-performing,Yes,4,963
489,22175,Long-term,Retired,40025,67,No,Business,13,Stable,No,0.0,0,N/A,No,Non-performing,Yes,58,285
336,31385,Long-term,Unemployed,155530,50,No,Business,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,67,4456
668,43158,Medium-term,Unemployed,83610,67,No,Mortgage,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,8,1651
824,28019,Long-term,Retired,90843,16,Yes,Personal,9,Stable,Yes,22710.75,9,Long-term,No,Non-performing,Yes,92,2307
578,23639,Medium-term,Self-employed,127237,17,No,Business,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,21,861
516,24994,Long-term,Unemployed,194499,47,No,Business,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,26,4419
572,39375,Long-term,Unemployed,150299,21,No,Business,5,Growing,No,0.0,0,N/A,No,Non-performing,Yes,9,1379
361,26563,Short-term,Retired,189578,67,No,Personal,15,Stable,No,0.0,0,N/A,No,Non-performing,Yes,79,4375
641,44341,Medium-term,Unemployed,25668,40,No,Personal,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,60,4827
696,10776,Short-term,Self-employed,198267,12,No,Business,7,Growing,Yes,10776.0,7,Short-term,No,Performing,No,100,3794
318,41444,Short-term,Retired,93233,73,Yes,Business,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,50,3381
476,8380,Short-term,Self-employed,175489,40,Yes,Auto,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,9,1636
695,13711,Medium-term,Unemployed,101982,32,No,Business,3,Stable,Yes,13711.0,3,Medium-term,No,Performing,No,100,3264
744,13782,Medium-term,Unemployed,126133,51,No,Mortgage,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,5,2870
532,22434,Long-term,Self-employed,30751,34,No,Mortgage,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,61,2063
375,25017,Short-term,Employed,66218,27,Yes,Business,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,4,3945
564,35707,Long-term,Unemployed,146649,20,No,Personal,14,Recession,No,0.0,0,N/A,No,Non-performing,Yes,69,3535
754,44110,Short-term,Employed,27352,18,No,Auto,18,Stable,Yes,6838.0,18,Short-term,No,Performing,No,100,4810
683,22343,Medium-term,Unemployed,108835,56,No,Personal,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,62,661
805,43827,Medium-term,Employed,117493,41,No,Business,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,55,2521
666,46652,Medium-term,Employed,48927,33,Yes,Mortgage,10,Growing,Yes,12231.75,10,Medium-term,No,Non-performing,Yes,58,4817
443,10655,Short-term,Employed,192166,71,No,Auto,12,Recession,No,0.0,0,N/A,No,Non-performing,Yes,62,2235
368,49859,Medium-term,Self-employed,121948,19,No,Personal,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,88,2161
398,20251,Short-term,Employed,49493,51,No,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,58,2280
695,5526,Long-term,Employed,51707,50,No,Business,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,50,2060
324,8224,Short-term,Employed,158368,56,No,Auto,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,49,3979
768,16536,Long-term,Unemployed,176470,23,Yes,Mortgage,10,Growing,Yes,16536.0,10,Long-term,No,Non-performing,Yes,3,3379
783,33541,Short-term,Employed,55842,25,No,Business,8,Growing,Yes,13960.5,8,Short-term,No,Performing,No,100,3984
450,18547,Long-term,Unemployed,33261,68,No,Auto,8,Growing,No,0.0,0,N/A,No,Non-performing,Yes,47,3370
443,39531,Medium-term,Employed,96709,41,No,Personal,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,31,4787
338,13712,Long-term,Employed,115985,31,No,Business,6,Growing,No,0.0,0,N/A,No,Non-performing,Yes,50,682
408,43565,Medium-term,Self-employed,126616,59,No,Personal,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,51,1713
341,14208,Medium-term,Unemployed,87173,33,No,Personal,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,98,1201
485,10109,Long-term,Employed,51781,24,No,Business,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,73,388
697,40201,Short-term,Unemployed,33652,29,No,Business,17,Stable,Yes,8413.0,17,Short-term,No,Performing,No,100,3959
522,21967,Short-term,Unemployed,25103,74,No,Business,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,33,3160
432,34759,Short-term,Retired,45500,67,No,Business,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,35,3026
462,25172,Short-term,Self-employed,120336,40,No,Business,12,Growing,No,0.0,0,N/A,No,Non-performing,Yes,69,4202
514,41935,Short-term,Self-employed,186601,6,No,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,42,1283
534,31589,Medium-term,Self-employed,133499,26,No,Mortgage,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,15,4435
308,35015,Short-term,Retired,169524,20,Yes,Mortgage,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,58,1546
373,34009,Medium-term,Retired,69393,22,No,Business,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,52,1849
791,22773,Medium-term,Self-employed,182246,73,No,Personal,8,Stable,No,0.0,0,N/A,No,Non-performing,Yes,18,2003
552,46125,Medium-term,Retired,186508,58,Yes,Mortgage,14,Stable,No,0.0,0,N/A,No,Non-performing,Yes,97,3275
529,31143,Long-term,Retired,67406,34,Yes,Mortgage,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,88,1177
818,11154,Long-term,Retired,83059,49,No,Mortgage,5,Stable,No,0.0,0,N/A,No,Non-performing,Yes,94,2477
